,Unnamed: 0,Student,GENDER_CD,CLASS_YR,Fall_2011,Freshman,meal_plan,index
115,115,33108,M,2013,Baltimore,Topeka,19MF,115
116,116,204407,M,2013,Providence,Nashville,10MF,116
117,117,89950,M,2013,Providence,Detroit,19MF,117
118,118,70083,M,2013,Providence,Nashville,14MF,118
119,119,47439,M,2013,Baltimore,Scranton,19MF,119
120,120,27197,F,2013,Dallas,Charleston,14MF,120
121,121,62771,M,2013,Seattle,Nashville,10MF,121
122,122,133014,F,2013,Seattle,Fargo,19MF,122
123,123,183061,F,2013,Providence,Fargo,19MF,123
124,124,115041,M,2013,New York,Nashville,19MF,124
125,125,50816,M,2013,New Orleans,Fargo,14MF,125
126,126,44508,M,2013,Providence,Topeka,19MF,126
127,127,68233,M,2013,Providence,Newark,19MF,127
128,128,45057,F,2013,Tulsa,Fargo,19MF,128
129,129,24159,F,2013,Baltimore,Scranton,19MF,129
130,130,170812,M,2013,Tulsa,Charleston,19MF,130
131,131,45869,F,2013,Providence,Scranton,14MF,131
132,132,107193,M,2013,Pittsburgh,Pittsburgh,14MF,132
133,133,107916,F,2013,Scranton,Nashville,19MF,133
134,134,190451,F,2013,New York,Nashville,19MF,134
135,135,158579,M,2013,Tulsa,Nashville,19MF,135
136,136,118810,M,2013,Providence,Detroit,19MF,136
137,137,140574,M,2013,Scranton,Scranton,14MF,137
138,138,114159,F,2013,Eugene,Eugene,14MF,138
139,139,137225,F,2013,Birmingham,Scranton,19MF,139
140,140,181342,F,2013,New York,Charleston,19MF,140
141,141,153689,M,2013,Providence,Nashville,19MF,141
142,142,91656,F,2013,Eugene,Charleston,19MF,142
143,143,133361,F,2013,Providence,Indianapolis,19MF,143
144,144,139841,F,2013,Providence,Nashville,14MF,144
145,145,173592,M,2013,New York,Topeka,19MF,145
146,146,192731,M,2013,Baltimore,Indianapolis,14MF,146
147,147,54095,F,2013,Providence,Detroit,19MF,147
148,148,75885,M,2013,Providence,Detroit,14MF,148
149,149,52204,M,2013,Dallas,Scranton,14MF,149
150,150,169871,M,2013,Columbus,Detroit,19MF,150
151,151,52486,M,2013,Providence,Charleston,14MF,151
