,Student,GENDER_CD,CLASS_YR,Fall_2011,Freshman,meal_plan
134,190451,F,2013,New York,Nashville,19MF
135,158579,M,2013,Tulsa,Nashville,19MF
136,118810,M,2013,Providence,Detroit,19MF
137,140574,M,2013,Scranton,Scranton,14MF
138,114159,F,2013,Eugene,Eugene,14MF
139,137225,F,2013,Birmingham,Scranton,19MF
140,181342,F,2013,New York,Charleston,19MF
141,153689,M,2013,Providence,Nashville,19MF
142,91656,F,2013,Eugene,Charleston,19MF
143,133361,F,2013,Providence,Indianapolis,19MF
144,139841,F,2013,Providence,Nashville,14MF
145,173592,M,2013,New York,Topeka,19MF
146,192731,M,2013,Baltimore,Indianapolis,14MF
147,54095,F,2013,Providence,Detroit,19MF
148,75885,M,2013,Providence,Detroit,14MF
149,52204,M,2013,Dallas,Scranton,14MF
150,169871,M,2013,Columbus,Detroit,19MF
151,52486,M,2013,Providence,Charleston,14MF
152,28889,F,2013,Baltimore,Newark,14MF
153,196689,M,2013,Providence,Detroit,19MF
154,88533,F,2013,Eugene,Charleston,19MF
155,168635,F,2013,Providence,Newark,19MF
156,155128,M,2013,New York,Topeka,19MF
157,130997,M,2013,Baltimore,Fargo,19MF
158,57287,F,2013,Santa Fe,Fargo,14MF
159,105427,F,2013,Providence,Newark,19MF
160,17135,F,2013,Scranton,Indianapolis,19MF
161,163641,F,2013,Eugene,Scranton,19MF
162,34668,M,2013,Santa Fe,Nashville,14MF
163,41291,F,2013,Providence,Newark,19MF
164,64347,M,2013,Providence,Fargo,19MF
165,179683,M,2013,New York,Topeka,19MF
166,39114,M,2013,Eugene,Topeka,19MF
167,170157,F,2013,Providence,Nashville,14MF
168,148480,F,2013,Providence,Fargo,14MF
169,79521,F,2013,Providence,Nashville,14MF
170,29777,M,2013,Baltimore,Fargo,19MF
171,192113,M,2013,Providence,Newark,19MF
172,22384,F,2013,Providence,Newark,19MF
173,125236,M,2013,Columbus,Nashville,19MF
174,144664,M,2013,New York,Nashville,19MF
