,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293
10,21,9,55,24,15,6,22,45,45,23,0,53,54,28,18,20,44,49,39,22,41,37,26,53,29,40,60,12,18,55,38,41,41,49,28,14,19,25,35,30,41,42,37,69,13,28,59,43,6,44,26,41,43,20,46,13,25,42,43,54,29,46,20,23,45,35,38,52,21,29,23,34,45,31,51,39,50,41,38,52,66,69,25,0,38,14,23,64,39,19,48,32,34,25,40,31,52,26,44,41,48,29,46,20,55,28,51,52,41,61,3,67,55,50,50,15,46,51,40,45,39,41,28,40,43,58,40,28,30,33,28,41,48,54,43,17,24,28,29,55,50,43,41,38,58,66,49,42,32,22,52,50,45,53,6,24,56,45,41,42,38,37,48,57,30,28,16,55,29,39,37,52,67,55,40,15,51,28,57,47,58,38,12,27,54,44,50,34,39,51,33,65,30,59,16,18,35,21,14,34,37,52,31,31,52,28,24,41,30,29,61,28,41,38,48,35,52,56,13,27,16,18,52,21,64,62,36,15,49,45,45,25,49,16,26,24,34,35,37,44,53,62,44,36,54,67,24,22,10,24,36,45,59,27,39,29,51,51,13,4,46,43,33,41,60,40,29,45,52,29,28,30,22,40,33,30,0,33,1,30,46,52,47,58,39,39,32,27,35,25,44,41,42,20
11,17,9,59,15,15,3,20,47,48,29,53,0,47,17,15,19,32,52,33,13,42,35,26,47,28,33,59,15,21,45,36,35,35,36,28,4,21,27,31,26,39,42,38,55,9,29,59,36,8,47,21,41,42,11,50,12,20,40,42,48,30,44,19,18,41,38,41,48,17,24,12,35,39,23,47,38,46,34,40,48,60,70,15,0,43,6,21,58,38,15,52,30,37,17,34,19,46,26,47,36,45,21,50,18,36,14,52,52,44,63,4,66,53,48,48,13,46,48,38,49,41,35,27,36,36,55,31,31,26,26,30,40,48,52,46,11,22,23,40,53,47,29,37,30,57,49,45,37,31,21,42,49,41,48,5,18,47,44,40,41,39,33,45,55,25,28,13,43,32,41,33,49,65,55,32,11,44,27,55,45,41,35,6,20,57,39,51,37,42,52,33,63,28,48,14,10,35,11,5,33,34,53,28,33,49,22,20,37,32,26,61,23,38,34,38,29,55,52,8,23,11,20,47,20,65,63,25,10,43,39,41,21,46,12,28,19,35,28,35,45,55,56,44,32,51,66,22,18,10,14,36,46,55,19,37,31,50,55,10,2,46,37,32,42,56,36,28,37,53,28,22,25,14,37,24,28,0,32,1,27,32,53,49,58,36,35,27,20,38,25,42,38,38,18
12,18,11,56,19,17,2,25,50,48,25,54,47,0,21,18,28,33,51,37,16,44,32,24,43,27,43,54,13,28,48,39,48,39,50,40,13,20,31,38,33,40,37,34,55,9,31,54,42,6,43,31,47,40,19,45,15,24,46,42,54,30,45,23,22,42,36,38,52,16,33,19,35,45,26,48,40,48,37,38,52,61,62,26,0,37,18,30,59,36,17,46,30,32,32,43,26,50,26,45,44,46,21,45,17,41,23,49,51,48,61,6,64,53,44,45,16,42,44,37,50,37,47,28,43,43,50,38,27,34,27,29,40,49,56,47,25,26,29,36,55,47,31,40,31,55,49,48,38,31,23,49,53,44,50,7,27,50,45,44,40,32,38,51,60,29,34,20,42,34,40,39,53,62,52,32,15,49,25,56,46,41,43,18,24,56,43,48,36,44,52,31,58,38,47,16,15,31,23,18,35,33,53,31,35,49,21,27,46,37,27,60,29,38,40,46,29,57,52,11,29,14,22,51,25,63,61,29,15,44,37,44,27,53,25,21,27,29,31,38,42,52,54,47,31,46,64,30,19,7,21,38,43,48,26,36,30,46,52,14,4,44,48,39,49,55,34,29,41,55,26,27,26,27,39,30,26,0,32,1,34,37,51,45,57,38,37,36,23,37,28,44,39,40,27
13,32,4,28,31,10,11,26,21,26,11,28,17,21,0,18,26,37,27,23,41,29,31,18,16,18,29,25,6,13,24,29,28,21,41,27,19,21,14,34,24,27,15,21,26,9,28,26,34,8,16,27,29,17,30,25,12,24,31,21,27,21,19,22,22,27,24,17,31,29,20,23,24,28,30,33,20,29,37,29,22,26,27,35,0,14,31,32,26,18,18,25,30,32,37,35,45,31,19,23,27,26,19,16,17,25,39,30,22,29,27,8,28,21,20,28,14,25,24,18,20,31,34,12,21,38,21,55,16,23,30,15,24,31,32,27,31,17,20,20,26,19,32,30,22,24,25,22,39,42,29,35,28,23,17,2,33,27,31,16,20,26,18,27,37,27,15,27,18,27,14,21,27,25,27,30,29,26,22,30,14,29,21,32,44,22,29,24,31,26,18,21,24,32,20,32,40,18,40,33,23,30,27,26,19,22,18,31,21,20,23,33,22,18,26,31,30,19,24,33,18,33,23,32,32,26,27,31,23,27,39,20,17,25,34,18,21,22,27,27,27,35,27,16,13,19,26,28,31,8,33,20,19,26,22,33,20,19,21,5,2,29,25,31,22,27,30,33,36,17,29,34,29,35,33,28,31,0,31,2,26,28,29,24,22,26,24,19,28,25,13,24,24,27,30
14,9,3,17,8,8,9,21,18,15,12,18,15,18,18,0,19,19,16,16,19,13,20,11,14,9,24,15,5,9,20,17,23,14,18,20,15,11,15,23,20,19,17,19,20,8,14,17,22,4,16,15,21,14,18,16,6,15,14,22,18,11,13,15,17,9,18,11,29,13,18,14,19,20,16,16,15,19,19,13,16,16,20,19,0,11,18,17,16,18,16,15,23,21,20,22,19,18,10,23,17,19,9,13,13,14,20,16,23,17,19,5,17,13,19,18,9,22,14,14,16,20,23,9,20,23,14,16,11,17,17,13,17,19,23,17,19,13,14,14,15,20,24,20,14,17,21,15,18,20,11,17,13,19,17,1,17,15,17,12,20,16,14,18,20,19,14,14,17,21,15,16,20,19,21,16,10,22,15,20,16,13,17,11,18,17,18,15,13,20,17,16,17,21,18,14,18,12,16,20,14,12,18,18,13,15,9,13,17,13,8,13,16,12,11,22,20,15,20,15,13,15,11,18,18,17,18,19,16,14,18,17,7,21,20,8,13,13,18,18,19,16,16,14,9,16,18,17,22,4,18,16,14,17,13,14,8,16,17,6,1,17,14,16,14,17,19,14,14,15,23,17,14,16,17,18,18,0,22,2,14,24,14,13,19,14,15,10,14,15,7,15,21,15,18
15,29,3,28,19,12,8,25,30,16,14,20,19,28,26,19,0,24,24,20,29,18,24,13,16,12,20,20,3,14,24,26,26,19,23,33,19,14,17,27,20,23,23,17,27,10,16,22,28,8,15,18,19,20,24,26,12,20,15,23,28,15,19,10,15,14,23,15,28,24,15,14,23,27,20,26,29,26,26,26,26,26,23,31,0,20,31,26,24,18,25,23,25,23,30,28,30,18,17,24,25,28,12,22,18,21,25,27,22,30,21,3,24,19,22,23,10,24,28,23,21,31,30,9,27,27,15,28,17,19,22,17,27,25,23,24,33,22,20,19,21,28,25,24,21,22,25,16,28,20,22,25,22,16,14,1,43,20,25,17,32,20,24,18,25,25,16,19,22,24,19,21,30,24,25,25,15,17,20,21,22,24,28,17,21,22,28,17,26,18,20,17,23,25,24,23,21,15,32,32,22,17,20,20,22,21,12,26,22,26,14,25,7,19,21,23,32,19,19,18,31,28,20,23,26,19,23,23,19,22,26,29,9,31,34,16,20,21,26,36,29,21,25,18,15,17,21,27,29,10,29,25,31,19,25,25,14,24,25,8,2,28,26,32,18,19,22,18,26,20,25,21,21,29,19,16,22,0,27,2,17,19,16,20,25,20,22,16,28,18,7,18,23,24,35
16,37,5,40,27,15,9,34,42,40,21,44,32,33,37,19,24,0,31,36,50,27,38,25,37,28,41,41,6,10,34,34,40,28,52,35,29,29,24,43,37,43,30,32,39,10,32,36,47,4,36,26,49,29,46,47,17,34,41,31,35,33,35,29,52,32,35,24,34,32,34,21,31,44,73,42,38,47,58,37,35,45,45,42,0,24,35,41,48,37,30,34,26,33,48,48,45,36,24,30,29,38,22,30,27,38,40,43,38,39,37,10,46,31,38,40,20,38,38,28,28,46,46,17,37,51,38,53,19,34,54,25,34,33,47,34,37,26,28,24,45,37,51,36,41,38,37,32,51,46,31,42,34,35,34,5,35,48,36,31,35,36,41,35,38,41,27,36,28,34,20,32,45,39,49,33,21,46,31,40,29,40,39,25,38,36,38,37,30,36,32,36,49,39,34,41,39,29,40,34,32,36,39,23,28,34,23,37,31,27,22,41,28,24,27,45,36,39,39,32,26,38,26,48,31,42,42,61,34,31,47,32,16,35,40,29,29,27,31,43,33,44,41,27,20,34,40,35,38,13,45,35,36,41,35,39,29,29,29,10,1,37,31,34,34,46,40,36,40,32,34,52,38,45,35,36,35,0,35,2,39,52,35,30,40,30,30,26,37,23,18,38,29,41,47
17,20,5,60,21,15,3,22,46,43,26,49,52,51,27,16,24,31,0,38,25,38,26,24,45,27,37,65,17,17,39,41,43,31,44,36,10,21,32,39,21,40,46,44,46,11,34,56,41,7,45,32,46,42,19,55,13,24,49,49,48,38,47,22,20,45,43,41,53,26,26,13,33,46,24,55,44,52,35,44,46,62,70,18,0,39,18,24,57,37,19,54,31,42,27,41,30,52,29,44,33,44,29,48,19,34,21,50,53,45,62,5,70,58,53,45,14,50,45,42,49,44,43,28,48,38,52,35,26,30,25,28,45,50,52,46,15,19,29,37,51,50,35,40,36,54,45,42,41,37,23,49,55,39,46,5,26,53,48,39,46,42,39,49,65,28,27,16,35,34,43,29,49,61,54,38,12,48,32,64,46,38,42,16,28,60,39,52,45,43,48,36,60,36,43,19,17,38,20,15,34,37,56,31,34,46,19,25,36,36,28,59,31,40,36,51,38,63,51,18,24,17,20,48,24,64,68,28,15,45,51,39,26,49,20,24,20,35,28,37,50,60,57,43,35,47,66,31,25,12,21,43,44,59,26,43,34,51,51,10,2,42,35,37,39,59,40,32,46,51,30,30,31,26,44,28,38,0,37,1,31,43,51,50,53,36,38,36,25,42,18,44,43,38,26
18,24,10,42,21,15,6,32,32,29,18,39,33,37,23,16,20,36,38,0,30,27,27,17,32,21,26,44,7,12,38,26,32,24,40,29,10,21,23,32,26,37,28,25,29,14,29,35,40,6,30,24,40,26,20,39,7,24,30,33,30,30,32,25,24,27,29,27,37,21,27,13,23,39,30,35,31,39,35,32,31,42,46,21,0,31,21,25,42,31,15,35,25,32,31,32,27,33,21,33,28,33,17,35,16,27,17,40,33,27,39,7,48,45,33,42,16,32,36,26,36,36,37,20,29,33,38,30,21,30,27,16,30,37,42,36,21,17,25,28,38,38,30,29,32,39,35,32,31,31,25,42,40,32,33,9,24,46,26,25,32,31,29,44,38,27,26,20,32,25,26,37,38,42,37,33,11,43,24,41,34,27,31,11,31,44,27,60,29,35,35,27,44,36,38,19,20,23,22,20,26,33,37,26,24,31,21,28,32,28,25,36,25,23,32,35,29,42,36,16,28,27,16,35,25,45,47,27,23,32,35,24,21,31,28,20,23,22,21,31,36,40,38,33,20,38,47,29,26,10,30,30,35,42,19,31,27,29,37,11,2,39,31,23,26,42,30,23,25,33,24,30,27,26,31,23,22,0,34,1,31,31,40,31,36,22,31,25,19,31,17,30,26,33,28
19,38,5,20,30,12,12,34,23,25,10,22,13,16,41,19,29,50,25,30,0,21,36,18,12,14,35,19,6,3,23,30,30,21,34,37,39,32,20,39,33,34,19,33,22,9,27,16,38,3,17,34,36,20,61,20,22,31,25,24,27,25,20,36,25,14,30,13,27,42,31,21,29,36,38,34,32,28,56,26,26,22,17,48,0,12,49,46,25,23,36,19,28,42,43,39,52,31,22,24,21,30,13,11,32,30,45,32,29,30,16,13,19,15,18,23,14,27,27,16,20,45,38,10,26,45,15,52,16,32,39,15,31,36,29,19,54,18,29,16,26,24,51,27,32,17,28,16,48,49,28,32,17,29,13,4,39,30,34,14,24,32,28,26,27,51,22,41,19,33,17,24,30,17,30,34,18,29,29,23,14,32,34,39,48,21,31,27,25,30,14,31,23,32,22,50,52,26,58,61,24,36,21,25,22,20,27,32,28,21,19,24,22,12,25,39,43,16,12,42,28,60,20,23,49,17,19,46,43,20,42,33,10,33,56,20,31,20,47,45,20,26,16,12,10,20,16,45,42,12,64,28,26,25,29,27,21,16,12,6,2,32,27,36,23,23,31,31,42,14,39,65,33,70,34,27,35,0,41,4,27,54,22,15,21,21,27,21,42,21,4,25,27,29,67
