,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293
10,2,0,7,2,3,1,2,3,3,0,0,0,4,1,2,11,2,9,6,6,2,1,2,14,1,3,0,0,5,27,3,4,4,1,10,2,2,1,5,3,2,5,2,40,2,2,15,1,1,0,2,1,6,4,8,1,0,1,2,31,0,2,0,0,4,7,1,1,1,3,1,2,2,2,4,6,3,9,8,21,4,2,3,0,4,1,3,21,5,1,7,6,6,4,2,2,2,6,7,5,1,4,6,2,38,1,3,3,2,2,1,3,8,7,5,1,3,4,7,11,8,3,2,9,2,0,2,1,8,2,1,5,1,3,5,3,5,3,4,0,4,19,4,7,2,37,4,3,4,4,5,2,2,9,0,3,5,0,5,4,5,8,1,2,3,2,2,22,5,5,1,6,8,5,6,4,3,2,3,6,45,9,6,1,4,2,6,3,2,3,9,11,1,32,2,2,3,3,5,7,3,1,3,4,28,0,2,5,2,1,2,1,3,3,2,2,4,3,3,0,2,2,4,3,5,3,4,1,3,7,2,2,3,2,0,1,1,2,2,3,3,3,6,3,3,6,2,1,1,0,3,6,3,0,1,5,0,7,1,0,3,3,0,4,7,3,4,0,4,0,6,1,3,4,1,2,0,2,0,2,26,0,4,8,13,0,2,0,5,3,2,2,4,2
11,7,1,4,4,0,2,6,7,4,30,0,0,7,4,8,1,12,4,3,4,7,11,5,2,0,2,22,3,3,3,0,3,3,5,0,1,5,0,7,3,2,1,1,3,0,6,1,4,2,1,7,5,1,2,1,3,5,8,1,3,0,11,2,9,5,1,14,27,2,15,2,3,3,12,6,0,8,4,3,3,2,29,2,0,6,1,7,2,3,7,4,5,4,3,3,3,3,4,2,3,2,5,4,2,2,2,3,0,4,30,1,13,0,3,6,0,12,1,1,0,2,1,0,1,2,19,4,22,3,11,29,5,4,4,5,1,2,4,5,8,10,3,3,6,16,2,0,16,13,5,2,11,4,2,2,2,7,6,2,1,5,1,2,0,2,6,4,2,4,0,14,5,3,1,7,1,5,5,14,7,0,3,1,1,1,2,1,4,5,3,3,7,13,2,11,1,1,3,1,3,0,17,7,0,1,14,2,1,1,9,3,7,16,2,2,3,1,19,3,1,6,2,9,2,20,15,10,2,9,3,3,1,3,1,4,4,0,1,5,16,21,8,2,12,2,2,9,20,2,8,2,3,8,2,1,3,27,1,0,0,5,4,6,1,0,1,3,16,3,2,3,8,10,6,9,3,0,9,0,2,2,13,21,2,3,3,3,3,0,2,3,9,1,7
12,8,0,2,4,2,2,8,9,3,4,4,7,0,4,4,6,9,4,2,7,6,5,7,3,5,4,6,0,18,5,4,8,6,5,5,3,4,3,5,1,5,2,7,8,3,5,10,3,0,2,6,4,6,5,2,0,6,5,2,5,4,3,4,6,3,6,7,8,2,7,3,7,4,5,8,10,7,10,2,6,6,7,2,0,6,6,5,7,6,7,7,6,8,9,2,7,6,1,4,4,2,6,6,1,6,9,4,3,7,6,2,10,4,6,5,2,6,5,5,6,5,4,2,4,6,8,4,4,7,5,3,9,4,7,5,4,4,4,2,1,10,10,5,3,6,4,7,5,4,3,5,10,7,10,2,6,6,6,3,5,3,2,3,2,5,7,2,2,4,5,4,3,8,5,2,4,8,7,5,7,3,3,5,1,2,3,2,5,4,15,3,5,6,4,1,3,5,5,1,2,4,8,3,7,6,4,4,7,5,3,4,2,5,6,7,3,5,9,5,3,5,5,4,2,8,10,5,6,12,5,8,4,10,4,2,3,5,6,4,6,8,6,22,3,7,2,7,3,2,4,4,4,8,2,2,1,6,10,0,0,3,4,7,3,1,8,4,8,6,9,10,4,12,3,5,3,0,2,0,4,7,6,7,4,4,4,7,3,2,5,4,7,3,12
13,2,1,7,6,6,4,2,5,8,4,1,4,4,0,5,5,3,1,3,3,7,7,5,3,2,6,3,3,0,5,7,5,8,13,6,6,11,6,7,5,9,4,8,1,1,6,0,10,0,5,2,7,2,6,2,5,4,6,9,8,8,5,1,3,6,5,5,4,4,3,3,14,12,1,5,7,9,3,7,8,3,2,10,0,2,10,10,2,1,6,3,5,1,6,7,7,5,1,5,7,7,5,2,4,3,7,11,3,9,1,3,5,1,6,3,8,9,8,2,3,6,11,5,4,10,4,27,2,4,6,3,7,13,9,3,11,3,5,6,9,5,1,4,1,7,3,2,6,14,6,4,8,6,8,1,6,11,9,3,4,2,2,8,11,7,5,6,2,7,3,6,7,4,5,5,5,9,4,7,2,6,4,4,14,8,5,3,1,5,3,4,4,5,4,5,8,7,4,7,4,8,3,6,4,5,5,8,6,4,3,20,4,7,7,10,10,8,5,5,4,5,4,4,8,8,5,7,4,8,6,10,5,9,7,5,6,4,8,9,5,5,4,1,5,6,8,7,3,1,7,8,4,1,4,12,1,5,2,2,0,10,3,7,4,2,7,7,2,3,9,1,4,3,8,6,5,0,9,0,5,0,10,3,7,5,4,2,7,2,2,7,8,3,3
14,2,1,2,2,3,1,6,4,3,6,2,8,4,5,0,3,8,5,1,3,0,6,1,5,0,2,8,1,0,1,4,2,2,3,3,4,7,3,6,5,1,0,3,0,1,7,3,4,1,1,5,9,3,4,4,1,2,5,5,1,3,2,2,6,5,6,4,17,1,5,1,5,1,4,7,3,4,3,0,0,1,13,3,0,0,5,1,3,4,6,1,8,3,3,5,3,2,1,3,1,4,3,1,2,1,3,4,1,7,13,2,9,2,2,4,4,6,2,4,1,2,6,2,2,5,6,6,4,2,9,6,2,2,3,6,4,4,3,3,5,4,0,6,4,8,1,1,5,3,7,1,7,6,0,0,6,3,4,0,2,3,2,3,3,3,5,7,1,6,1,4,3,1,7,1,2,6,4,6,2,0,3,2,5,4,3,0,1,4,1,0,1,4,1,4,3,4,3,4,0,3,7,4,2,2,5,7,0,3,2,3,3,5,4,2,6,2,10,1,4,1,3,4,3,11,9,9,4,7,5,4,1,4,4,1,1,2,1,2,7,10,4,3,3,3,3,3,8,0,6,1,0,3,2,4,1,7,1,0,0,1,0,4,2,1,4,4,9,2,3,2,6,3,2,4,2,0,7,0,6,1,7,8,4,0,0,3,4,1,2,5,2,1,5
15,6,1,6,3,5,3,2,6,6,0,11,1,6,5,3,0,3,3,4,1,4,5,3,7,1,5,6,2,3,5,0,4,1,6,1,1,3,2,3,3,2,1,6,10,1,2,2,3,0,1,5,9,2,6,4,1,1,2,1,9,1,7,0,3,3,4,3,5,2,4,2,5,1,2,3,7,3,1,8,7,3,4,3,0,2,6,2,5,4,4,10,11,7,7,6,5,3,1,4,1,3,7,5,4,6,3,5,3,4,6,2,9,5,3,7,5,6,3,4,4,4,6,2,3,4,2,9,2,3,7,0,5,4,2,5,4,2,5,0,10,3,4,5,5,6,8,2,9,4,2,5,6,5,5,0,25,2,4,2,4,3,1,1,3,7,5,3,6,5,6,2,3,1,1,3,1,4,1,5,2,8,3,4,7,2,4,3,1,8,5,2,4,7,5,7,0,5,7,0,2,2,4,6,3,10,2,11,2,2,2,5,1,2,4,6,5,3,2,2,13,6,5,2,1,4,9,8,8,7,6,3,2,2,2,3,3,1,6,4,4,4,2,6,2,3,4,8,6,0,3,5,3,3,0,7,7,3,1,1,0,0,3,8,5,4,2,4,3,3,4,2,4,3,4,4,4,0,4,0,2,5,4,2,4,6,2,5,4,2,1,3,4,3,2
16,12,0,11,13,2,8,3,10,5,12,2,12,9,3,8,3,0,6,4,8,8,15,9,1,4,9,19,0,4,1,2,6,4,9,4,4,3,1,5,5,5,1,6,3,1,6,7,8,4,4,13,15,2,7,3,4,3,11,5,3,0,10,1,35,8,4,13,16,5,18,4,4,3,65,9,3,8,9,3,3,2,27,5,0,4,9,9,7,7,5,4,10,4,7,9,9,4,2,5,3,5,4,4,5,3,6,10,3,4,20,1,22,1,1,8,2,10,5,3,2,5,8,2,5,5,18,7,8,4,22,12,3,5,6,4,2,3,4,3,7,6,5,9,4,7,4,0,15,10,6,5,13,8,2,0,4,8,2,4,2,7,2,2,4,5,10,11,1,5,1,18,9,5,7,7,1,5,2,21,5,2,7,2,5,2,7,0,6,15,2,4,11,13,2,8,2,8,13,3,4,5,15,7,3,6,11,7,7,3,5,6,6,10,3,3,8,3,13,1,8,13,3,14,6,9,18,22,4,10,7,2,3,6,2,2,5,0,5,3,17,12,6,2,9,6,4,12,16,1,16,4,8,16,7,7,6,13,1,1,1,7,2,11,4,0,3,3,13,3,5,8,9,7,6,10,4,0,6,0,3,2,6,20,9,0,9,6,6,1,1,4,8,3,13
17,3,2,8,1,3,1,2,2,6,3,9,4,4,1,5,3,6,0,8,4,5,4,1,4,2,5,8,2,7,9,2,6,2,3,3,0,2,0,7,2,4,8,5,6,2,3,5,4,1,5,3,2,8,4,6,2,2,5,5,5,1,6,4,3,2,8,4,6,3,4,2,10,2,5,9,6,7,3,7,3,4,6,3,0,6,8,5,5,3,7,6,7,4,2,6,6,7,1,1,3,4,3,6,4,6,3,6,4,10,7,0,5,4,7,11,2,7,6,18,8,6,7,2,2,4,1,1,4,5,3,2,3,4,6,10,4,5,2,3,5,6,3,4,7,5,10,6,5,3,6,5,5,5,6,1,3,3,5,5,6,1,3,1,5,5,4,3,8,2,6,2,5,5,4,4,1,1,1,5,3,8,2,3,6,4,5,9,7,1,3,4,5,7,9,2,2,4,4,5,3,7,6,3,3,5,4,3,2,2,0,3,2,2,2,4,1,4,6,2,3,4,0,7,1,7,5,4,3,7,9,6,2,5,5,1,5,1,5,8,8,5,0,3,1,6,5,6,5,0,2,3,3,5,2,6,2,3,7,0,0,3,5,4,4,9,3,1,4,4,3,3,4,2,1,2,3,0,4,0,6,4,7,6,5,3,5,5,2,4,2,4,5,4,9
18,2,1,6,1,1,1,1,2,2,2,6,3,2,3,1,4,4,8,0,3,3,1,2,2,4,1,4,0,2,4,3,5,3,4,4,2,6,2,4,3,4,5,4,7,2,4,3,5,2,4,2,5,8,3,6,1,4,1,6,5,2,3,2,5,1,10,2,2,2,0,1,1,4,5,5,5,3,4,7,6,5,3,2,0,2,0,1,3,1,1,7,4,4,2,4,5,4,3,4,5,2,1,3,4,5,2,2,2,3,4,1,2,4,3,6,1,1,3,2,6,1,4,3,3,6,2,2,2,3,2,2,8,5,4,2,4,2,2,6,3,2,3,2,0,3,7,3,2,2,1,6,3,3,5,1,2,4,5,1,3,3,5,3,4,3,3,1,4,2,2,4,4,6,5,6,3,2,4,2,5,6,3,3,3,6,3,49,4,5,4,1,4,3,5,2,8,4,4,3,4,0,2,4,3,4,3,0,3,5,1,3,4,5,5,3,4,6,3,1,1,2,0,7,4,2,2,2,0,4,4,2,3,1,2,0,1,5,4,5,1,4,2,2,4,2,10,4,6,1,0,5,5,3,4,4,1,4,6,2,0,4,3,3,2,4,1,3,0,3,1,2,5,3,3,4,2,0,1,0,3,2,0,3,5,2,2,6,5,0,2,2,1,3,3
19,5,0,1,6,3,1,7,5,4,3,6,4,7,3,3,1,8,4,3,0,4,6,4,2,3,5,6,0,2,2,9,5,3,6,5,4,3,1,4,5,5,7,2,5,3,6,9,6,1,5,5,6,4,9,5,2,4,8,6,2,1,3,2,10,7,4,4,4,3,7,2,1,8,6,4,3,5,24,3,3,7,10,7,0,6,8,6,4,4,6,4,5,7,4,5,5,3,1,4,4,4,5,4,5,5,7,7,9,3,6,1,4,5,9,8,2,3,4,6,3,12,5,4,5,6,3,4,5,5,6,2,7,6,8,5,8,7,6,10,4,7,14,2,5,4,4,8,6,4,2,9,3,3,2,0,1,10,3,1,7,0,5,2,9,5,8,5,2,3,0,2,2,8,6,2,4,4,5,7,5,8,4,1,3,8,4,6,5,7,5,3,11,5,1,10,1,2,3,8,4,9,6,5,5,2,8,5,5,4,7,8,1,3,6,9,7,8,6,5,5,4,4,7,8,5,5,8,4,8,2,4,2,6,6,2,5,5,5,9,4,6,8,5,3,5,11,3,3,1,8,4,10,9,4,6,6,5,5,1,0,6,6,4,2,9,7,5,3,4,6,20,4,15,2,6,5,0,4,0,1,16,5,5,7,3,3,3,5,7,1,4,4,9,13
